,word,adult_definition,kids_definition,simplified,similarity
8935,regression,A defense mechanism leading to the temporary reversion of the ego to an earlier stage of development rather than handling unacceptable impulses in a more adult way.,'the process of going back to an earlier or less advanced form or state',The act of returning to a past or simpler time.,0.8202158
8936,bipolar,Of or relating to manic depressive illness.,'a person who has bipolar disorder',Someone with a bipolar disorder has big mood swings.,0.82563037
8937,combatant,A person who is actively engaged in battle conflict or warfare.,'a person or group involved in fighting in a war or battle',A soldier is someone who fights in a war.,0.7538818
8938,combative,Having or showing a ready disposition to fight.,'ready and willing to fight or argue',Want to fight or argue.,0.73307025
8939,incite,To urge someone to do something.,'to encourage somebody to do something violent illegal or unpleasant especially by making them angry or excited',to make someone do something bad or wrong by making them angry or excited.,0.8012068
8940,emissary,A representative sent on a mission or errand.,'a person who is sent to deliver an official message especially from one country to another or to perform a special task',A person sent to deliver a message from one country to another or do a special job.,0.88924384
8941,transponder,A receiver-transmitter that will generate a reply signal upon proper electronic interrogation.,'a device that receives a radio signal and then sends out a different signal in reply',A machine that gets a message and sends back another.,0.8112886
8942,stupefy,To become stupid to become intellectually dull.,'to surprise or shock somebody; to make somebody unable to think clearly','to shock or surprise someone very much'.,0.861107
8943,cupidity,Excessive desire for possessions and wealth.,'a strong desire for more wealth possessions power etc. than a person needs',"He wants more wealth, possessions, and power than he needs.",0.7326184
8944,craftsman,Someone who carries out work that requires a certain speciality or skill.,'a person with a special skill especially one who makes beautiful things by hand',Someone who makes beautiful things by hand has a special skill.,0.8961591
8945,sidekick,An assistant to another person usually the person's inferior.,'a person who helps another more important or more intelligent person',A person who helps someone more important or smarter.,0.8321525
8946,femininity,The quality of being feminine; qualities and behaviours deemed to be typical for women and girls.,'the fact of being a woman; the qualities that are considered to be typical of women','being a woman; things that women are like',0.8474864
8947,comportment,Manner of behaving oneself; manner of acting.,'the way in which somebody/something behaves',How do the children behave at school?,0.64003044
8948,remorse,Feeling of regret or sadness for doing wrong or sinning.,'the feeling of being extremely sorry for something wrong or bad that you have done',feeling very sorry for doing something wrong or bad.,0.8301829
8949,conclave,An assembly or gathering esp. one that has special authority power or influence.,'a meeting to discuss something in private; the people at this meeting',People had a private meeting to discuss something.,0.7143961
8950,radiography,The process of making radiographs.,'the process or job of taking X-ray photographs',Take X-ray pictures.,0.70194364
8951,confide,To have confidence or faith in.,'to tell somebody secrets and personal information that you do not want other people to know',tell someone secrets you want to keep private.,0.7912895
8952,forgather,To collect in one place usually for a purpose.,'to meet together in a group',We meet together in a group.,0.6682304
8953,foregather,To collect in one place usually for a purpose.,'to meet together in a group',We meet together in a group.,0.6682304
8954,offal,The internal organs of an animal other than a bird these organs being used as food.,'the inside parts of an animal such as the heart and liver cooked and eaten as food',the inside parts of an animal like the heart and liver are cooked and eaten as food.,0.91437846
8955,washout,The sudden erosion of soft surfaces by a gush of water usually occurring during a heavy downpour of rain or flooding.,'an event etc. that is a complete failure especially because of rain',it was a complete failure because of the rain.,0.673246
8956,rival,A woman who competes with one or more other people.,'a person company or thing that competes with another in sport business etc.',"A person, company, or thing that competes with another.",0.811852
8957,dogwood,A flowering plant native to southern Europe and southwest Asia with edible berries.,'a bush or small tree with red or pink berries and red stems that grows in northern regions; the hard wood of this tree',A small tree with red berries and stems grows in cold places.,0.84538615
8958,corroborate,To establish or strengthen with new evidence or facts.,'to provide evidence or information that supports a statement theory etc.',to give proof or details that shows something is true.,0.79011416
8959,cosmetic,A preparation such as powder or a skin cream designed to beautify the body by direct application.,'a substance that you put on your face or body to make it more attractive',a cream to make your skin look better.,0.7806541
8960,countable,(of a noun) Freely usable with the indefinite article and with numbers and therefore having a plural form.,'a noun that is countable can be used in the plural and with a or an for example table cat and idea',"We can use some nouns in plural form and with ""a"" or ""an"", like ""table"" and ""cat"" and ""idea"".",0.87555397
8961,counterfeit,A copy that is represented as the original.,'made to look exactly like something in order to trick people into thinking that they are getting the real thing',Made to look like the real thing to trick people.,0.79569167
8962,tachograph,A device that combines the functions of a clock and a speedometer and records its measurements on paper.,'a device that is used in vehicles such as large lorries and some types of buses to measure their speed how far they have travelled and when the driver has stopped to rest',"A tool in big lorries and some buses measures speed, distance, and rest time.",0.8693092
8963,ramification,A consequence or development that complicates a problem.,'one of a number of complicated and unexpected results that follow an action or a decision',some of the things that happen after something is done.,0.7150842
8964,desecration,The violation or injurious treatment of a sacred object.,'the act of damaging a holy thing or place or treating it without respect',They damaged a special place or did not show respect.,0.74133295
8965,cruise,A pleasure voyage on a ship usually with stops at various ports.,'a journey by ship or boat visiting different places especially as a holiday',"A trip on a boat or ship to visit many places, especially for fun.",0.82623655
8966,amnesiac,A person suffering from amnesia.,'a person who has a medical condition in which they partly or completely lose their memory',The person forgot things.,0.6048776
8967,exonerate,To free from accusation or blame.,'to officially state that somebody is not responsible for something that they have been blamed for',to say that someone is not guilty of something they were blamed for.,0.8840728
8968,curt,Brief or terse especially to the point of being rude.,'appearing rude because very few words are used or because something is done in a very quick way',Seems rude because of quick actions or few words.,0.78407454
8969,fugitive,A person who is fleeing or escaping from something.,'a person who has escaped or is running away from somewhere and is trying to avoid being caught',a person who is running away from somewhere to avoid being caught.,0.8741042
8970,overdraft,The permission to have a minus balance on your bank account.,'the amount of money that you owe to a bank when you have spent more money than is in your bank account; an arrangement that allows you to do this',You owe money to a bank when you take more money than you have in your account; this is an agreement that lets you do this.,0.90542555
8971,juxtaposition,A placing together done in order to compare or contrast.,'the fact of putting people or things together especially in order to show a contrast or a new relationship between them','putting people or things together to show something new or different' ,0.91355515
8972,dauntless,Not being daunted or intimidated.,'not easily frightened or stopped from doing something difficult','not scared to try hard things'. ,0.76439404
8973,madrigal,A type of secular vocal music composition written during the Renaissance and early Baroque eras.,'a song for several singers usually without musical instruments popular in the 16th century','a song for many singers without music instruments popular in the 16th century',0.9783461
8974,debar,To prevent from entering; to keep out (e.g. of membership).,'to officially prevent somebody from doing something joining something etc.',to stop someone from doing something or joining something.,0.78940517
8975,debase,To make a person morally inferior.,'to make somebody/something less valuable or respected',to make someone or something less important or special.,0.7250583
8976,dissipated,Displaying the effect of excessive indulgence in sensual pleasure.,'enjoying activities that are harmful such as drinking too much alcohol',Don't drink too much alcohol.,0.72496796
8977,dissolute,Displaying the effect of excessive indulgence in sensual pleasure.,'enjoying immoral activities and not caring about behaving in a morally acceptable way','doing bad things and not caring about being good'.,0.81475985
8978,libertine,Displaying the effect of excessive indulgence in sensual pleasure.,'a person usually a man who leads a life that is not moral and who is interested in pleasure especially sexual pleasure',"a person, usually a man, who likes pleasure, especially sexual pleasure, and does not behave morally.",0.8654667
8979,ibex,Any of several wild goats of the genus Capra.,'a mountain goat with long curved horns',A goat with long horns.,0.81555706
8980,deductible,An amount that can be deducted especially for the purposes of calculating income tax.,'that can be taken away from an amount of money you earn from tax etc.',what you can take away from the money you earn from tax and so on.,0.810489
8981,defamation,An abusive attack of a person's reputation by any slanderous communication.,'the act of damaging somebody’s reputation by saying or writing bad or false things about them',"when you say or write bad things about someone, it can hurt their reputation.",0.8120265
8982,derogatory,An abusive attack of a person's reputation by any slanderous communication.,'showing a critical attitude and lack of respect for somebody','not respecting someone and being critical',0.6803584
8983,antebellum,In the United States: Pertaining to the period before the Civil War.,'connected with the years before a war especially the American Civil War',Especially connected with the American Civil War years.,0.86056274
8984,disrespectful,Showing a lack of deference.,'showing a lack of respect for somebody/something ',didn't respect someone/something.,0.74884313
8985,predate,To assign to a date earlier than the actual date.,'to be built or formed or to happen at an earlier date than something else in the past','happened before something else in the past'.,0.79833126
8986,anorexic,A person suffering from anorexia nervosa.,'a person who has anorexia',A person has no food.,0.6400997
8987,coven,A formal group or assembly of witches,'a group or meeting of witches','a group of witches' ,0.90476716
8988,denigration,An abusive attack on a person's character or good name,'unfair criticism of somebody/something; the act of saying that somebody/something does not have any value or is not important',When someone says something or someone is not good or important.,0.7895106
8989,barefaced,Unrestrained by convention or propriety.,'showing that you do not care about offending somebody or about behaving badly',Not caring about offending or behaving badly.,0.7887276
8990,depute,To give something to (a person) or assign a task to (a person).,'to give somebody else the authority to represent you or do something for you',Someone will do something for you.,0.6679058
8991,taunt,To harass with persistent criticism or carping.,'to try to make somebody angry or upset by saying unkind things about them laughing at their failures etc.',"Say mean things, laugh at their mistakes to make someone angry.",0.82133996
8992,kowtow,To act in a very submissive manner.,'to show somebody in authority too much respect and be too willing to obey them',to give someone in charge too much respect and obey them too much.,0.841612
8993,pollute,To remove the consecration from a person or an object.,'to add dirty or harmful substances to land air water etc. so that it is no longer pleasant or safe to use','to put yucky things into our air water and land so it is not nice or safe anymore'.,0.8190186
8994,floozy,A prostitute who walks the streets to attract customers.,'an offensive word for a woman who you disapprove of because you think she has sexual relationships with many different men',a word that insults a woman who has many partners.,0.81689453
8995,deviant,Deviating from the normal or common order form or rule.,'different from what most people consider to be normal and acceptable',He didn't say it's not normal and okay.,0.6494992
8996,devise,To use the intellect to plan or design something.,'to invent something new or a new way of doing something',to think of something new or a new way to do something.,0.87444836
8997,devout,Believing in and showing reverence for God or a deity.,'believing strongly in a particular religion and obeying its laws and practices','believing in a religion and following its rules' ,0.930478
8998,diehard,One who adheres to traditional views or ideas.,'a person who strongly opposes change and new ideas',Someone who does not like change or new ideas.,0.800447
8999,etymon,A word in a foreign language from which a particular loanword is derived.,'a word or part of a word from which another word comes',A part of a word that makes another word.,0.82915044
9000,eggplant,Violet oval-shaped vegetable the fruit of Solanum melongena.,'a vegetable with shiny dark purple skin that is soft and white inside',The vegetable has a shiny dark purple skin and is soft and white inside.,0.8749511
9001,dactyl,A type of meter consisting of one stressed syllable followed by two unstressed syllables in accentual verse or one long syllable followed by two short syllables in quantitative verse.,'a unit of sound in poetry consisting of one strong or long syllable followed by two weak or short syllables',A sound unit in poetry has one strong syllable and two weak ones.,0.89612544
9002,castrate,To remove the testicles (and sometimes penis) of a male animal or to render the testicles unfunctional.,'to remove the testicles of a male animal or person',to take out the testicles of a boy or man.,0.83700013
9003,discontent,A longing for something better than the present situation.,'a feeling of being unhappy because you are not satisfied with a particular situation; something that makes you have this feeling','a feeling of being unhappy because you don't like something; something that makes you feel this way',0.94091755
9004,discontented,Feeling or exhibiting a lack of contentment or satisfaction.,'unhappy because you are not satisfied with your situation',You are unhappy because you don't like your situation.,0.78001523
9005,fifteenth,One of 15 equal parts of a whole.,'each of fifteen equal parts of something',Each of fifteen equal parts.,0.86132103
9006,rot,To corrupt decompose organic matter.,'to decay or make something decay naturally and gradually','to rot away slowly',0.7675461
9007,dissemble,To conceal the truth or real nature of.,'to hide your real feelings or intentions often by pretending to have different ones',You often pretend to have different feelings or plans to hide your true ones.,0.877845
9008,bimonthly,A publication that appears twice a month that is every two weeks.,'produced or happening every two months or twice each month',"'happening every two months or twice a month' using the following words from the prioritize word list: every, two, months, or, and, twice.",0.7780118
9009,feign,To act as if something is true.,'to pretend that you have a particular feeling or that you are ill tired etc.',to pretend to be tired or sick.,0.74980927
9010,distaste,A feeling of strong dislike or hostility.,'a feeling that somebody/something is unpleasant or offensive',It feels bad when someone/something is not nice.,0.7284985
9011,distressing,Causing distress or worry or anxiety.,'making you feel extremely upset especially because somebody is suffering',It makes you feel very sad when someone is hurt.,0.7813105
9012,cant,Language that is higly informal considered below what is considered standard educated speech and consisting of new words old words used with new meanings or words considered taboo by people of a higher social status.,'statements especially about moral or religious issues that are not sincere and that you cannot trust',You can't trust statements about moral or religious issues that aren't sincere.,0.8862729
9013,doorway,The passage or opening into a building room etc. closed and opened by a door.,'an opening into a building or a room where the door is',The door opened into a room.,0.6925975
9014,ebony,A type of wood usually black and almost as heavy and hard as stone.,'the hard black wood of various tropical trees','the strong dark wood from trees in hot countries'.,0.840245
9015,exuberance,Overflowing with eager enjoyment or approval.,'the quality of being full of energy excitement and happiness',"The quality of being full of energy, excitement, and happiness. ",0.8487983
9016,eccentric,A person who has an unusual peculiar or odd personality or behaviour pattern.,'considered by other people to be strange or unusual','thought to be odd by others'.,0.85475504
9017,effeminate,Of a man: Having qualities that are traditionally associated with women.,'looking behaving or sounding like a woman or girl',"'acting or talking like a girl' (Prioritize word list: acting, talking, like, girl)",0.7583042
9018,elongate,To draw out to greater length.,'to become longer; to make something longer',It makes something longer.,0.7615132
9019,elongation,The act of lengthening something.,'the process of becoming longer or making something longer',It makes things longer.,0.67112064
9020,emetic,An agent that causes vomiting.,'making you vomit (= bring up food from the stomach)',"A princess throwing up food from her stomach is not what you would expect, but that's what happened to Princess Anne when she rode on a dragon.",0.6503413
9021,enliven,To make sprightly or cheerful.,'to make something more interesting or more fun','to make it more fun' ,0.9016861
9022,enrapture,To fill with rapture or delight.,'to give somebody great pleasure or joy','to make someone very happy',0.8902064
9023,pupa,The form taken by some insects at an early stage in their development.,'an insect in the stage of development between a larva and an adult insect','a young insect not fully grown'.,0.8233804
9024,entice,To attract or provoke someone to do something through (often false or exaggerated) promises or persuasion.,'to persuade somebody/something to go somewhere or to do something usually by offering them something',to make someone go or do something by giving them something.,0.795148
9025,enticement,Qualities that attract by seeming to promise some kind of reward.,'something that you offer to somebody in order to persuade them to go somewhere or to do something; the act of offering an enticement',an invitation or offer to go somewhere or do something.,0.7225412
9026,entourage,A group of followers especially of a person of high rank.,'a group of people who travel with an important person',Some people travel with a king.,0.73698974
9027,envoy,A female person that negotiates something as a representative.,'a person who represents a government or an organization and is sent as a representative to talk to other governments and organizations',a person who talks to other governments for their own government or organization.,0.8666345
9028,temerity,The quality of not showing due respect.,'extremely confident behaviour that people are likely to consider rude',People think someone who behaves very confidently might be rude.,0.7973576
9029,epileptic,A person who suffers from epilepsy.,'a person who has epilepsy ',"A person with epilepsy can have a seizure if they are not careful, but they can manage their condition with the right treatment.",0.7572696
9030,epitome,A person or thing that is typical of or possesses to a high degree the features of a whole class.,'a perfect example of something','a great example of something' ,0.9735304
9031,equate,To consider or describe as similar equal or analogous.,'to think that something is the same as something else or is as important',to think something is the same or as important.,0.8684162
9032,erotic,Giving sexual pleasure; sexually arousing.,'showing or involving sexual desire and pleasure; intended to make somebody feel sexual desire',making you feel romantic or excited.,0.69203085
9033,erratic,Liable to sudden unpredictable change.,'not happening at regular times; not following any plan or regular pattern; that you cannot rely on ',not happening at the same time every day; not following rules; you can't trust it.,0.8067509
9034,presidential,Of or pertaining to a president.,'connected with the position or activities of a president',The person was connected with the president's job or things the president did.,0.7579849
9035,catharsis,The release of ideas thoughts and repressed material from the unconscious accompanied by an emotional response and relief.,'the process of releasing strong feelings for example through plays or other artistic activities as a way of providing relief from anger mental pain etc.',Expressing strong feelings through plays or art helps get rid of anger and mental pain.,0.8845668
9036,evoke,To call up or produce memories feelings etc.,'to bring a feeling a memory or an image into your mind',"'to bring a feeling, memory, or image to mind'.",0.86304724
9037,exaggeration,An extreme exaggeration or overstatement; especially as a literary or rhetorical device.,'a statement or description that makes something seem larger better worse or more important than it really is; the act of making a statement like this',It's when someone says something is bigger or better than it really is.,0.7840061
9038,linseed,The seed of flax especially when used as the source of linseed oil.,'the seeds of the flax plant eaten as a health food or used to make linseed oil',The flax seeds are eaten for health or used for linseed oil.,0.8832654
9039,exclaim,To utter aloud; often with surprise horror or joy.,'to say something suddenly and loudly especially because of strong emotion or pain',to shout out loudly because of strong feelings.,0.7605067
9040,exclamation,A mark or sign by which outcry or emphatic utterance is marked.,'a short sound word or phrase spoken suddenly to express an emotion. Oh! Look out! and Ow! are exclamations.',A sudden short word or phrase to show feelings. Oh! Look out! and Ow! are examples.,0.88169706
9041,exhort,To spur on or encourage especially by cheers and shouts.,'to try hard to persuade somebody to do something',Try to convince.,0.6317997
9042,cabal,A usually secret exclusive organization of individuals gathered for a nefarious purpose.,'a small group of people who are involved in secret plans to get political power',Some people have secret plans to get power.,0.7527214
9043,plumage,A branching hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift.,'the feathers covering a bird’s body',Feathers on a bird’s body.,0.83573127
9044,reciprocity,A relation of mutual dependence or action or influence.,'a situation in which two people countries etc. provide the same help or advantages to each other',Two countries help each other the same way.,0.8066405
9045,predict,To make a prediction or prophecy.,'to say that something will happen in the future',To say something will happen later is a prediction.,0.77643836
9046,foretell,To make a prediction or prophecy.,'to know or say what will happen in the future especially by using magic powers',to predict the future using magic powers.,0.76813304
9047,expend,To pay out or expend money.,'to use or spend a lot of time money energy etc.',to use or spend much.,0.70737946
9048,innovative,Characterized by the creation of new ideas or things.,'introducing or using new ideas ways of doing something etc.',They brought new ideas and ways of doing things. ,0.7707614
9049,expiry,An expiration especially of a contract or an agreement.,'an ending of the period of time when an official document can be used or when an agreement is legally acceptable',When a paper can be used or an agreement is okay.,0.7941305
9050,lattice,A flat panel constructed with widely-spaced crossed thin strips of wood or other material. It is commonly used as a garden trellis.,'a structure that is made of thin narrow pieces of wood or metal that cross over each other with spaces that are like diamonds in shape between them used for example as a fence; any structure or pattern like this',A special kind of fence made of thin pieces of wood or metal that cross over each other with diamond-shaped spaces between them.,0.8922186
9051,explicate,To inform about the reason for something how something works or how to do something.,'to explain an idea or a work of literature in a lot of detail',to explain something in a lot of detail.,0.81889963
9052,zoological,Of or relating to zoology.,'connected with the science of zoology','about the study of animals'.,0.824401
9053,exploratory,Making a beginning but not being the real thing.,'done with the intention of examining something in order to find out more about it','looked at something to learn more about it',0.8536811
9054,trickster,A person who acts dishonestly.,'a person who tricks or cheats people',A person who cheats people.,0.84714985
9055,teamster,A person who drives a truck.,'a person whose job is driving a truck',A truck driver.,0.67160714
9056,trucker,A person who drives a truck.,'a person whose job is driving a truck',A truck driver.,0.67160714
9057,extremist,A supporter or advocate of extreme doctrines or practices.,'a person whose opinions especially about religion or politics are extreme and who may do things that are violent or illegal for what they believe',"Someone who has very strong ideas about things like religion and politics, and might do bad or illegal things to support what they think.",0.8676731
9058,extirpation,The act of destroying or getting rid of something.,'the act of destroying or getting rid of something that is bad or not wanted','to get rid of something bad'.,0.8115343
9059,exterminate,To kill in large numbers.,'to kill all the members of a group of people or animals','to kill them all' ,0.77835035
9060,expressionist,Of pertaining to or in the style of expressionism.,'in the style of expressionism in early 20th century art theatre cinema and music; working in this style',"They worked in a style, like the early 20th century art, theatre, cinema, and music. ",0.82457876
9061,kneel,To remain in a position where the bodyweight rests on one or both knees.,'to be in or move into a position where your body is supported on your knee or knees',You need to sit on your knee or knees.,0.78585374
9062,tarragon,The leaves of this plant (Artemisia dracunculus) either fresh or preserved in vinegar used as a seasoning.,'a plant with leaves that have a strong taste and are used in cooking as a herb',This plant has leaves that taste strong and we use them to cook.,0.83122706
9063,hoodoo,A person supposed to bring bad luck.,'a person or thing that brings or causes bad luck','Someone or something that brings bad luck.,0.86642444
9064,eagerness,A positive feeling of wanting to push ahead with something.,'great interest and excitement about something that is going to happen or about something that you want to do',it is very exciting to think about something wonderful that will happen soon.,0.7465563
9065,mainstream,The most common and popular way of thinking among a population.,'the ideas and opinions that are thought to be normal because they are shared by most people; the people whose ideas and opinions are most accepted',Things that most people think are normal.,0.74121606
9066,misappropriation,The fraudulent appropriation of funds or property entrusted to your care but actually owned by someone else.,the act of taking somebody else's money or property for yourself especially when they have trusted you to take care of it,Taking something that belongs to someone else without permission is called stealing.,0.8101899
9067,endogamy,Marriage within a particular group in accordance with custom or law.,'the custom of marrying only people from your local community',People in our town marry other people from our town.,0.7215818
9068,concubine,A woman who cohabits with an important man but who is not his wife.,'(especially in some societies in the past) a woman who lives with a man often in addition to his wife or wives but who is less important than they are',"A woman who lives with a man, not his main wife.",0.82425493
9069,enrol,To have one's name formally recorded as a participant or member.,'to arrange for yourself or for somebody else to officially join a course school etc.',to sign up for a class or have someone else sign up.,0.7762613
9070,enumeration,A numbered or ordered list.,'the act of naming things one by one in a list; a list of this sort',Sir Walter Scott loved making lists of things by naming them one by one.,0.75660825
9071,ex,A man who was formerly the husband of a certain woman.,'a person’s former wife husband or partner',"A person's husband, wife, or partner from before might get part of their things when they die if they are still alive.",0.71130526
9072,ablative,The case indicating the agent in passive sentences or the instrument or manner or place of the action described by the verb.,'in the form that a noun a pronoun or an adjective can take to show for example who or what something is done by or where something comes from',"When a noun, pronoun, or adjective shows who does something or where it comes from.",0.86075455
9073,abolitionism,The doctrine that calls for the abolition of slavery.,'the American campaign in the 1800s to end the system of slavery in the southern states. Its members were called abolitionists and many hid enslaved people who were escaping on the Underground Railroad. Famous abolitionists included the poet John Greenleaf Whittier and the author Harriet Beecher Stowe.',The 1800s American campaign fought to end slavery in southern states. Members were called abolitionists and they helped escaping slaves through the Underground Railroad. Famous abolitionists were poet John Greenleaf Whittier and author Harriet Beecher Stowe.,0.95059055
9074,endemic,Native to or confined to a certain region.,'regularly found in a particular place or among a particular group of people and difficult to get rid of','often seen in a certain place or with certain people and hard to get away from'.,0.87660044
9075,philistine,A person who despises art and literature.,'a person who does not like or understand art literature music etc.',"The person who didn't like art, literature, music, etc. was ignored and never given a chance.",0.77068466
9076,inland,In or toward the interior of a country away from the sea or the frontier.,'in or towards the middle of a country; away from the coast','in the middle of a country; away from the coast',0.94085747
9077,wary,Openly distrustful and unwilling to confide.,'careful when dealing with somebody/something because you think that there may be a danger or problem',Be careful when you deal with someone or something because you think there may be danger.,0.84061307
9078,weakling,A physically weak or feeble person.,'a person who is not physically strong',a weak person.,0.68580335
9079,sissy,A person of weak character who lacks courage and/or moral strength.,'an offensive word to describe a boy or man who is considered to be weak easily frightened or interested in things considered only suitable for girls or women',A word to describe a boy who is not brave or strong.,0.82232285
9080,weekly,Done produced or happening once a week.,'happening done or published once a week or every week','happening every week or once a week' (Removing unnecessary words),0.86450493
9081,windscreen,The front window of an aircraft automobile bus motorcycle or tram.,'the window across the front of a vehicle',The window in front of the car.,0.78184247
9082,surfboard,A shaped waterproof plank used to surf on waves.,'a long narrow board used for surfing',A board for surfing.,0.7293231
9083,uxoricide,The murder of one's wife.,'the crime of killing your wife; a person who is guilty of this crime',"killing your wife is a crime, a person who does it is guilty.",0.82098675
9084,matricide,The killing of one's mother.,'the crime of killing your mother; a person who is guilty of this crime',you killed your mother; you are guilty.,0.6929687
9085,depressor,Muscle whose function is to pull down the parts of the body to which it is connected.,'an instrument for pressing something down',He remembered it as a tool for pressing things down.,0.75900567
9086,vocalist,A male person who sings is able to sing or earns a living by singing.,'a singer especially in a pop rock or jazz band',"A singer, especially in a pop rock or jazz band.",0.844375
9087,ingenue,The role of an innocent artless young woman in a play.,'an innocent young woman especially in a film or play',Young woman especially in a film or play.,0.85382754
9088,spinster,Someone who gives a positive interpretation to events.,'a word for a woman who is not married and is no longer young that is now considered offensive','a bad word for an older unmarried woman',0.8079143
9089,alarmist,A person who alarms others needlessly.,'a person who causes unnecessary fear and worry by what they say about something ',Someone who says things that make others worried.,0.7715129
9090,vacillation,Indecision in speech or action.,'the act of often changing your opinion or thoughts about something especially in a way that annoys other people',The act of changing your mind about something in a way that bothers others.,0.90613043
9091,vanilla,Any tropical climbing orchid of the genus Vanilla (especially Vanilla planifolia) bearing podlike fruit yielding an extract used in flavoring food or in perfumes.,'a substance obtained from the beans of a tropical plant also called vanilla used to add taste to sweet foods for example ice cream',"A substance from a tropical plant called vanilla adds taste to sweet foods, like ice cream.",0.85631686
9092,genre,A category of artistic works characterized by a particular form style or purpose.,'a particular type or style of literature art film or music that you can recognize because of its special features',"A special kind of book, movie, or music that you know because of its certain features.",0.82605255
9093,steadfastly,Without showing hesitation indecision doubt.,'without changing in your attitudes or aims','without changing your attitudes or goals' ,0.9699173
9094,repercussion,A consequence or ensuing result of some action.,'an indirect and usually bad result of an action or event that may happen some time afterwards',Something bad might happen later because of what we do.,0.6346578
9095,locale,A small area of a place.,'a place where something happens',a place where things happen.,0.7962785
9096,limelight,A focus of public attention.,'the centre of public attention','the middle of everyone's attention',0.7566844
9097,hairpiece,A false substitute for a person's hair.,'a piece of false hair worn to make your own hair look longer or thicker',You wear a fake hair piece to make your hair look longer or thicker.,0.82223135
9098,waltz,A dance in 3/4 time performed primarily in closed position.,'a dance in which two people dance together to a regular rhythm; a piece of music for this dance',A dance where two people dance together with a regular beat; music for this dance.,0.886917
9099,transgression,The act of transgressing; the violation of a law or a duty or moral principle.,'an act that goes beyond the limits of what is morally or legally acceptable',It is an action that is not good.,0.7745508
9100,urinal,A sanitary system usually mounted on a wall used by men for urinating.,'a type of toilet for men that is attached to the wall; a room or building containing urinals',A special toilet for men that is on the wall; a room with these toilets.,0.8201392
9101,overwinter,To spend the winter (in a particular place).,'to spend the winter months in a place; to stay alive or to keep something alive during the winter',to stay alive in winter.,0.7935499
9102,cowgirl,A woman who herds and tends cattle on a ranch.,'a female cowboy in the American West',A cowgirl in the American West.,0.8440202
9103,nymphomaniac,(For a woman) Having extreme or obsessive sexual desire.,'an offensive word for a woman who has or wants to have sex more than is considered normal or acceptable','a bad word for a lady who has or wants lots of sex'.,0.89111865
9104,velar,(Of sounds) Articulated at the soft palate.,'a speech sound made by placing the back of the tongue against or near the back part of the mouth for example /k/ or /ɡ/ in the English words key and go',A special sound is made by putting the tongue against the back of the mouth like 'k' in 'key' and 'go'. ,0.86800367
9105,uvular,A sound articulated with the uvula.,'produced by placing the back of the tongue against or near the uvula','made by putting the back of the tongue near the uvula',0.95602775
9106,labiovelar,(Of sounds) Articulated at the lips and the soft palate.,'a speech sound made using the lips and soft palate for example /w/ in we',"When we say ""we"", our lips and the soft part at the back of our mouth touch.",0.6184609
9107,palatal,(Of sounds) Articulated at the hard palate.,'a speech sound made by placing the tongue against or near the hard palate of the mouth for example /j/ at the beginning of yes',"A sound made by the tongue in the mouth, for example /j/ at the beginning of yes.'",0.9484763
9108,aficionado,A follower or admirer who likes knows about and appreciates a particular interest or activity.,'a person who likes a particular sport activity or subject very much and knows a lot about it',Someone who loves and knows a lot about a sport or subject.,0.84022033
9109,fascinate,To cause to be interested or curious.,'to attract or interest somebody very much',to interest somebody very much.,0.8168928
9110,seeker,Someone making a search or inquiry.,'a person who is trying to find or get the thing mentioned',Someone looking for something.,0.7042002
9111,doppelganger,A ghostly double of a living person that haunts its living counterpart.,'a person’s doppelgänger is another person who looks exactly like them',A person's double is someone who looks just like them.,0.7793073
9112,cull,To remove something that has been rejected.,'to kill a number of wild animals from a group especially in order to stop the group from becoming too large',"The prioritize word list: kill, group, large, stop, order, wild, animals, number, too.",0.65313363
9113,tripwire,A cord or wire arranged so that a detector or trap or a device is triggered when somebody stumbles over it or touches it in any other way.,'a wire that is stretched close to the ground as part of a device for catching somebody/something if they touch it','a wire that is stretched close to the ground for catching someone or something if they touch it',0.95747304
9114,interregnum,The time between two reigns governments etc.,'a period of time during which a country an organization etc. does not have a leader and is waiting for a new one',There was a time when a country or organization had no leader and was waiting for a new one.,0.85070807
9115,phantasm,Something existing in perception only.,'a thing seen in the imagination',It's impossible to see something in the world that can only be imagined.,0.7159498
9116,ulterior,Lying beyond what is openly revealed or avowed (especially being kept in the background or deliberately concealed).,'that somebody keeps hidden and does not admit',that someone keeps a secret and won't admit it.,0.7040148
9117,unspeakable,That cannot be expressed or described with words.,'that cannot be described in words usually because it is so bad',that cannot be described in words because it is so bad.,0.898126
9118,victorious,Being the winner in a contest struggle war etc.,'having won a victory; that ends in victory',We won a big fight; it ends with a win.,0.77650374
9119,reckless,Indifferent to danger or the consequences.,'showing a lack of care about danger and the possible results of your actions',You do not care about danger and what might happen when you do something.,0.7486815
9120,knee-jerk,Emotional and predictable; -- of certain people and their reactions to events.,'produced in reaction to something without any serious thought',happened because of something without much thought.,0.7717113
9121,hijacker,Someone who uses force to take over a vehicle (especially an airplane) in order to reach an alternative destination.,'a person who hijacks a plane or other vehicle',Someone who takes a plane or other vehicle away from its owner.,0.8571434
